Time,X,Y,Z
1622214976758,0.2235817,-0.25820395,0.93897617
1622214976800,0.26283652,-0.23309062,1.3702914
1622214976842,0.39523005,-0.24333103,1.3941855
1622214976884,0.4296085,-0.39303568,0.8529081
1622214976924,0.5149755,-0.30355424,0.5491101
1622214976966,-0.06461194,0.08265452,1.025288
1622214977007,0.18383928,0.19066618,0.81145895
1622214977048,-0.05997939,0.44862634,1.0942886
1622214977093,-1.2839795,0.49714625,1.648275
1622214977134,-0.66102284,0.20944022,1.9074543
1622214977179,0.10752403,-0.27649036,1.3485914
1622214977221,-0.007070741,-0.20675822,0.7761052
1622214977262,-0.13946427,-0.03559752,0.9016719
1622214977303,-0.21577951,-0.0431559,1.15695
1622214977345,0.042668264,-0.015848212,0.84388685
1622214977386,0.12824862,-0.02535714,-0.093382545
1622214977427,0.54813486,0.09265109,-0.32452264
1622214977470,-0.03974244,0.4469196,0.47471493
1622214977511,-0.64493084,0.36792237,0.76171994
1622214977553,-0.16701578,0.56032574,1.4271011
1622214977595,-0.31013733,0.45301506,1.8416232
1622214977636,-0.03291552,0.33037427,2.8610597
1622214977678,-0.28526783,0.39547387,1.7245904
1622214977720,-0.047788456,0.2511332,0.9448278
1622214977762,-0.7451403,-0.15604393,1.2854425
1622214977803,-0.6939384,-1.3556621,1.1966925
1622214977845,0.26039833,-1.495858,1.7577497
1622214977886,-0.3033104,-0.8295015,0.31111258
1622214977927,-0.51156205,-0.08972526,-0.39401096
1622214977971,0.61128384,0.2128537,-0.3147699
1622214978020,0.45399034,0.6025064,-0.2981902
1622214978061,0.41278496,0.7492852,0.40547043
1622214978103,0.14336537,0.6724823,1.0428429
1622214978146,-0.7490414,0.51692605,1.7838383
1622214978188,-0.60177493,0.0036572798,2.2122276
1622214978228,-0.53667533,-0.17823143,1.8252873
1622214978271,-0.35548759,-0.27892855,2.5679896
1622214978312,-0.57519865,-0.24893884,1.7643328
1622214978354,-0.45082068,-0.072414145,1.1484163
1622214978396,-0.14434065,-0.03974244,0.25186467
1622214978438,-0.117764406,7.31456E-4,-0.06022321
1622214978480,0.12873624,-0.18652128,-0.020480767
1622214978521,0.35938868,-0.2511332,0.061198484
1622214978563,0.46106106,0.0,0.20139422
1622214978604,0.022187497,0.28673074,0.15116757
1622214978646,0.13678227,0.6288388,0.5564247
1622214978687,-0.33525065,1.2247317,1.1286671
1622214978728,-0.4225377,0.66858125,1.6972827
1622214978770,-0.3164766,0.26210505,2.776942
1622214978819,-0.65858465,0.19115382,2.2022312
1622214978860,-0.46179253,0.017554943,1.2615482
1622214978902,-0.5793436,-0.23626027,0.7583065
1622214978944,-0.5520359,-1.026507,1.2442371
1622214978986,-0.6354219,-1.4505076,1.0425991
1622214979029,-0.1504361,-0.9862769,1.0033442
1622214979071,0.21577951,-0.11605768,0.018042581
1622214979112,0.20944022,0.61762315,-0.41400406
1622214979153,0.2718578,0.77464235,-0.19676165
1622214979195,0.2760027,0.45472178,0.26186123
1622214979235,0.038523346,0.2825858,0.97945
1622214979277,-0.32232827,0.20773348,1.1103806
1622214979320,-0.37036055,0.22163115,1.6039001
1622214979362,-0.53009224,0.028282965,1.4631863
1622214979403,-0.11971497,-0.5435023,2.0200984
1622214979444,0.024381867,-0.6246939,2.5048406
1622214979486,-0.26478708,-0.46301162,1.528804
1622214979529,-0.28770602,-0.7673278,1.2288765
1622214979579,-0.090700544,-1.1135502,1.7067915
1622214979621,-0.55496174,-1.000906,1.0133408
1622214979662,-0.27966,-0.61884224,0.34158996
1622214979704,-0.08899381,-0.07850961,-0.36670327
1622214979746,-0.009996565,0.2313839,-0.17042924
1622214979786,-0.06826922,0.41595462,0.041205354
1622214979828,0.075339966,0.44521287,0.36402127
1622214979872,0.47276434,0.5405764,0.31550136
1622214979914,-0.313307,0.689062,0.5227777
1622214979956,0.085092716,0.40717715,0.6593161
1622214980001,-0.36499652,0.3174519,0.9821321
1622214980042,-0.40839624,0.020968404,1.6034125
1622214980083,0.3174519,-0.084361255,2.0983644
1622214980124,-0.54203933,0.05656593,2.3860703
1622214980166,-0.95677483,-0.185546,2.369003
1622214980209,-0.0548592,-0.6315208,1.7160567
1622214980259,-0.0136538455,-1.1254973,0.9021595
1622214980300,-0.008533653,-1.1862082,0.22016825
1622214980341,-0.40205696,-0.68052834,0.049739007
1622214980382,-0.0731456,-0.64493084,0.37279874
1622214980424,-0.27015108,-0.10630494,0.42009953
1622214980465,-0.40693334,0.29623967,0.47837222
1622214980508,-0.3740178,0.67418903,0.8326712
1622214980549,-0.38986605,0.94824123,0.9102055
1622214980591,-0.13873282,0.9284919,1.0408924
1622214980632,-0.25527814,0.30794296,1.167678
1622214980673,-0.14824174,-0.2730769,1.3834575
1622214980716,-0.1594574,-0.32257208,1.1557308
1622214980756,-0.39839968,0.030233514,1.3071423
1622214980800,0.059491754,2.4381865E-4,0.9850579
1622214980840,0.020968404,0.14946084,0.4025446
1622214980881,-1.0123656,0.31989008,0.6658992
1622214980924,-0.014141482,-0.18774037,1.2188799
1622214980965,-0.62201184,-0.040717717,0.49985874
1622214981006,-0.318671,0.072414145,0.5071733
1622214981048,-0.1699416,-0.15214284,1.3415207
1622214981093,-0.5705661,0.34427196,0.9426334
1622214981134,0.042424448,0.13824518,1.0523517
1622214981178,-0.017311124,-0.06973214,1.5495286
1622214981219,-0.23918611,0.11264422,0.89118767
1622214981260,-0.24918267,-0.044131175,0.81779826
1622214981302,0.048519913,-0.31672046,0.91191226
1622214981344,-0.46228015,-0.20212567,0.8963079
1622214981385,-0.62298715,-0.022675136,0.8043882
1622214981426,-0.37621218,-0.07290178,0.9531176
1622214981466,-0.08923762,-0.18993473,1.3349377
1622214981508,-0.24869503,-0.05071428,1.1362253
1622214981552,-0.9477536,-0.022187497,0.9965173
1622214981594,-1.1084301,-0.1606765,1.1174514
1622214981636,-0.44399378,-0.26210505,1.1406142
1622214981678,-0.4496016,-0.026820054,1.3244534
1622214981722,0.07095122,0.04144917,0.93605036
1622214981763,-0.51278114,-0.138489,0.941902
1622214981807,0.3008722,-0.30696768,1.1781622
1622214981849,0.20822112,-0.1726236,0.89582026
1622214981892,0.24942648,0.060710847,0.56788415
1622214981933,0.37474927,0.19310437,0.500834
1622214981980,0.26600617,0.18530218,0.97359836
1622214982022,0.24016139,0.23382208,0.78854
1622214982065,0.21334134,0.24381866,0.7917096
1622214982106,0.1255666,0.24259958,0.83608466
1622214982148,0.27502745,0.14409684,1.0752708
1622214982192,0.18725273,0.108986944,0.99773645
1622214982234,0.08948144,0.18871564,0.9409267
1622214982275,0.026820054,0.1816449,0.9192268
1622214982316,-0.14287773,0.17286743,1.2291204
1622214982357,-0.18237635,0.021456042,1.3324995
1622214982398,-0.10825549,0.028770601,1.5736666
1622214982440,-0.24918267,-0.048276093,1.3900406
1622214982482,0.011459477,0.015360575,1.1988868
1622214982524,-0.22016825,0.11093749,0.785858
1622214982566,-0.10386674,0.093382545,0.8507138
1622214982606,-0.22723898,0.11703295,0.7956108
1622214982648,-0.4271703,0.121177875,0.75806266
1622214982689,-0.3962053,0.14239009,0.7246595
1622214982730,-0.40864006,0.18091343,0.5925098
1622214982780,-0.61250293,0.22065589,0.608358
1622214982823,-0.79780513,0.19286056,0.7646458
1622214982864,-0.67809016,0.1960302,0.79292876
1622214982906,-0.6812598,0.17676853,0.7641581
1622214982947,-0.6776025,0.17969434,0.62591296
1622214982988,-0.92678523,0.19286056,0.5700785
1622214983031,-1.049426,0.24991412,0.524972
1622214983072,-0.9153257,0.2511332,0.5573999
1622214983115,-0.8287701,0.25308377,0.6563903
1622214983156,-0.63615334,0.18188873,0.8826541
1622214983197,-0.65785325,0.14019573,0.7790311
1622214983238,-0.5622763,0.15604393,0.74440885
1622214983280,-0.5415517,0.13385645,0.7046664
1622214983322,-0.50497895,0.14799793,0.85266435
1622214983364,-0.6385915,0.15287429,0.9294672
1622214983406,-0.6417612,0.16628432,0.6264006
1622214983460,-0.7665963,0.2208997,0.7068608
1622214983616,-0.86339235,0.20944022,0.6941822
1622214983660,-0.68296653,0.041205354,1.0308957
1622214983703,-1.1125749,0.08582417,0.94653445
1622214983745,-0.1804258,0.4627678,0.80707026
1622214983787,-0.04900755,0.38669637,0.92581
1622214983829,-0.24869503,0.28624308,0.9294672
1622214983871,-0.069000676,0.21651098,1.0823414
1622214983912,0.07338942,0.20432003,0.9082549
1622214983953,0.23382208,0.1633585,0.85461485
1622214983994,0.28965658,0.10069711,0.93897617
1622214984037,0.38620874,0.09508927,0.89265054
1622214984079,0.4430185,0.056809746,0.87095076
1622214984121,0.28648692,0.1319059,0.8985022
1622214984162,0.4040075,0.08606799,0.8538834
1622214984202,0.44228706,0.08606799,0.91215605
1622214984245,0.29965314,0.1699416,0.9345874
1622214984286,0.24455012,0.18676509,0.9394638
1622214984326,0.15555629,0.135807,0.93751323
1622214984369,-0.24674448,0.008777471,1.0491822
1622214984419,-0.075583786,0.04900755,1.089656
1622214984459,-0.040717717,0.062173758,1.1293985
1622214984501,-0.0902129,0.2167548,1.0533271
1622214984541,0.15336193,0.22382553,0.8668058
1622214984583,0.42741412,0.117764406,0.9672591
1622214984624,0.53545624,-0.08826235,1.1062356
1622214984665,0.24089284,-0.06778159,1.2110777
1622214984707,0.2248008,-0.012190933,0.9696973
1622214984749,-0.028039146,0.045350272,1.0155351
1622214984793,-0.15506867,0.11410713,0.94434017
1622214984834,-0.5593505,0.23942994,0.8390105
1622214984875,-0.75440544,0.4286332,0.66443634
1622214984916,-0.33354393,0.21236606,1.1120874
1622214984957,-0.23089626,0.0863118,1.1791376
1622214984998,-0.25430286,0.05437156,0.98457026
1622214985041,-0.5274102,0.1567754,0.8263319
1622214985082,-0.9184954,0.45179597,0.71076185
1622214985123,-1.1859645,0.5430146,0.7524549
1622214985166,-1.0255318,0.36645946,1.2074205
1622214985207,-0.7434336,0.27551508,1.1454905
1622214985248,-0.3581696,0.22626372,0.9562872
1622214985290,-0.20992786,0.26966345,0.9765242
1622214985334,-0.3464663,0.2964835,0.7702536
1622214985379,-0.45594087,0.423513,0.4471634
1622214985420,-0.57641774,0.4925137,0.37572455
